"adapt(regions)",2,par,,"rate of closure TOB-TPA gap",""
"aeye(currency,owner)",4,par,,"identity matrix",""
"ainv(owner,abroad)",4,par,,"inverse of I-ashr",""
"alph_rex(regions)",2,par,,"weight on shadow real exchange rate in CA intervention",""
"ashr(currency,owner)",4,par,,"asset split among currencies",""
"base_jk(sec_std,regions)",4,par,,"base J/K",""
"btucoef(goods,regions)",4,par,,"emissions coefficients, energy",""
"carcoef(goods,regions)",4,par,,"emissions coefficients, carbon",""
"cd_df(goods_o,regions)",4,par,,"1 if cd, 0 if ces",""
"cd_e(sectors,regions)",4,par,,"1 if cd, 0 if ces",""
"cd_eH(regions)",2,par,,"1 if cd, 0 if ces",""
"cd_eR(regions)",2,par,,"1 if cd, 0 if ces",""
"cd_ff(goods_o,dest)",4,par,,"1 if cd, 0 if ces",""
"cd_m(sectors,regions)",4,par,,"1 if cd, 0 if ces",""
"cd_mH(regions)",2,par,,"1 if cd, 0 if ces",""
"cd_mR(regions)",2,par,,"1 if cd, 0 if ces",""
"cd_o(sectors,regions)",4,par,,"1 if cd, 0 if ces",""
"cd_oH(regions)",2,par,,"1 if cd, 0 if ces",""
"cd_oR(regions)",2,par,,"1 if cd, 0 if ces",""
"delta(regions)",2,par,,"depreciation rate",""
"delta_dom(goods_o,regions)",4,par,,"domestic weight in DF",""
"delta_e(regions,sec_std,goods_e)",4,par,,"input weights, individ goods",""
"delta_eG(goods_e,regions)",2,par,,"gov budget shares on E goods",""
"delta_eH(goods_e,regions)",2,par,,"input weights, individ goods",""
"delta_eR(goods_e,regions)",2,par,,"input weights, individ goods",""
"delta_ff(goods_o,dest,orig)",8,par,,"foreign source weights in FF",""
"delta_m(regions,sec_std,goods_m)",4,par,,"input weights, individ goods",""
"delta_mG(goods_m,regions)",2,par,,"gov budget shares on M goods",""
"delta_mH(goods_m,regions)",2,par,,"input weights, individ goods",""
"delta_mR(goods_m,regions)",2,par,,"input weights, individ goods",""
"delta_o(factors,sec_std,regions)",16,par,,"input weights, KLEM tier",""
"delta_oG(factors,regions)",8,par,,"gov KLEM budget shares",""
"delta_oH(factors,regions)",8,par,,"input weights, KLEM tier",""
"delta_oR(factors,regions)",8,par,,"input weights, KLEM tier",""
"eer_weight(dest,orig)",4,par,,"trade weights, NEER and REER",""
"eurowt(regions)",2,par,,"weight on countries in Eurozone",""
"fore_c(regions)",2,par,,"shr of C driven by foresight",""
"fore_i_y(regions)",2,par,,"shr of I driven by foresight in capital sector",""
"fore_i_z(regions)",2,par,,"shr of I driven by foresight in household capital",""
"forei(sec_std,regions)",4,par,,"shr of I driven by foresight std sector",""
"FTA(dest,orig)",4,par,,"free trade area tariff flag",""
"int_elast(regions)",2,par,,"interest elast of money demand",""
"labgrow(regions)",2,par,,"growth of effective labor",""
"makeinv(goods,sectors,regions)",8,par,,"inverse of make table",""
"mongdp(regions)",2,par,,"coefficient on MONE in WELT",""
"mpc(regions)",2,par,,"marginal propensity to consume",""
